timestamp,light,moderate,very,data source
2025-11-23T19:31:50Z,1,0,0,Fitbit App
2025-11-23T19:32:50Z,1,0,0,Fitbit App
2025-11-23T19:58:50Z,1,0,0,Fitbit App
2025-11-23T19:59:50Z,1,0,0,Fitbit App
2025-11-23T20:00:50Z,1,0,0,Fitbit App
2025-11-23T20:01:50Z,1,0,0,Fitbit App
2025-11-23T20:02:50Z,1,0,0,Fitbit App
2025-11-23T20:03:50Z,1,0,0,Fitbit App
2025-11-23T20:04:50Z,1,0,0,Fitbit App
2025-11-23T20:05:50Z,1,0,0,Fitbit App
2025-11-24T08:10:50Z,1,0,0,Fitbit App
2025-11-24T08:11:50Z,1,0,0,Fitbit App
2025-11-24T08:12:50Z,1,0,0,Fitbit App
2025-11-24T08:13:50Z,1,0,0,Fitbit App
2025-11-24T08:27:50Z,1,0,0,Fitbit App
2025-11-24T08:28:50Z,1,0,0,Fitbit App
2025-11-24T08:29:50Z,1,0,0,Fitbit App
2025-11-24T08:30:50Z,1,0,0,Fitbit App
2025-11-24T10:04:50Z,1,0,0,Fitbit App
2025-11-24T10:05:50Z,0,0,1,Fitbit App
2025-11-24T10:06:50Z,0,1,0,Fitbit App
2025-11-24T10:07:50Z,1,0,0,Fitbit App
2025-11-24T10:08:50Z,0,0,1,Fitbit App
2025-11-24T10:09:50Z,0,0,1,Fitbit App
2025-11-24T10:10:50Z,0,0,1,Fitbit App
2025-11-24T10:11:50Z,0,0,1,Fitbit App
2025-11-24T10:12:50Z,0,0,1,Fitbit App
2025-11-24T10:13:50Z,0,0,1,Fitbit App
2025-11-24T10:14:50Z,0,0,1,Fitbit App
2025-11-24T10:15:50Z,1,0,0,Fitbit App
2025-11-24T10:16:50Z,0,1,0,Fitbit App
2025-11-24T10:17:50Z,0,1,0,Fitbit App
2025-11-24T10:18:50Z,0,1,0,Fitbit App
2025-11-24T10:19:50Z,0,0,1,Fitbit App
2025-11-24T10:20:50Z,0,0,1,Fitbit App
2025-11-24T10:21:50Z,0,0,1,Fitbit App
2025-11-24T10:22:50Z,1,0,0,Fitbit App
2025-11-24T10:23:50Z,0,0,1,Fitbit App
2025-11-24T10:24:50Z,0,0,1,Fitbit App
2025-11-24T10:25:50Z,0,1,0,Fitbit App
2025-11-24T10:26:50Z,1,0,0,Fitbit App
2025-11-24T10:27:50Z,1,0,0,Fitbit App
2025-11-24T10:28:50Z,1,0,0,Fitbit App
2025-11-24T10:29:50Z,1,0,0,Fitbit App
2025-11-24T10:30:50Z,1,0,0,Fitbit App
2025-11-24T10:31:50Z,1,0,0,Fitbit App
2025-11-24T10:32:50Z,0,1,0,Fitbit App
2025-11-24T10:33:50Z,0,0,1,Fitbit App
2025-11-24T10:34:50Z,0,0,1,Fitbit App
2025-11-24T10:35:50Z,0,0,1,Fitbit App
2025-11-24T10:36:50Z,0,0,1,Fitbit App
