timestamp,beats per minute,data source
2025-03-26T15:12:40Z,94.0,Sense
2025-03-26T15:12:45Z,93.0,Sense
2025-03-26T15:12:50Z,92.0,Sense
2025-03-26T15:13:00Z,93.0,Sense
2025-03-26T15:13:15Z,93.0,Sense
2025-03-26T15:13:25Z,91.0,Sense
2025-03-26T15:13:30Z,87.0,Sense
2025-03-26T15:13:35Z,84.0,Sense
2025-03-26T15:13:40Z,82.0,Sense
2025-03-26T15:13:45Z,85.0,Sense
2025-03-26T15:13:50Z,86.0,Sense
2025-03-26T15:13:55Z,90.0,Sense
2025-03-26T15:14:00Z,89.0,Sense
2025-03-26T15:14:05Z,86.0,Sense
2025-03-26T15:14:20Z,87.0,Sense
2025-03-26T15:14:25Z,89.0,Sense
2025-03-26T15:14:30Z,90.0,Sense
2025-03-26T15:14:35Z,88.0,Sense
2025-03-26T15:14:40Z,86.0,Sense
2025-03-26T15:14:45Z,88.0,Sense
2025-03-26T15:14:50Z,90.0,Sense
2025-03-26T15:14:55Z,89.0,Sense
2025-03-26T15:15:00Z,91.0,Sense
2025-03-26T15:15:05Z,93.0,Sense
2025-03-26T15:15:10Z,91.0,Sense
2025-03-26T15:15:15Z,91.0,Sense
2025-03-26T15:15:20Z,90.0,Sense
2025-03-26T15:15:35Z,94.0,Sense
2025-03-26T15:15:40Z,95.0,Sense
2025-03-26T15:15:45Z,96.0,Sense
2025-03-26T15:15:50Z,95.0,Sense
2025-03-26T15:15:55Z,96.0,Sense
2025-03-26T15:16:00Z,95.0,Sense
2025-03-26T15:16:05Z,94.0,Sense
2025-03-26T15:16:10Z,93.0,Sense
2025-03-26T15:16:20Z,92.0,Sense
2025-03-26T15:16:30Z,94.0,Sense
2025-03-26T15:16:35Z,94.0,Sense
2025-03-26T15:16:45Z,92.0,Sense
2025-03-26T15:16:50Z,91.0,Sense
2025-03-26T15:16:55Z,88.0,Sense
2025-03-26T15:17:05Z,87.0,Sense
2025-03-26T15:17:10Z,92.0,Sense
2025-03-26T15:17:15Z,93.0,Sense
2025-03-26T15:17:25Z,90.0,Sense
2025-03-26T15:17:30Z,92.0,Sense
2025-03-26T15:17:35Z,93.0,Sense
2025-03-26T15:17:45Z,91.0,Sense
2025-03-26T15:18:00Z,91.0,Sense
2025-03-26T15:18:05Z,92.0,Sense
2025-03-26T15:18:10Z,93.0,Sense
2025-03-26T15:18:15Z,93.0,Sense
2025-03-26T15:18:20Z,88.0,Sense
2025-03-26T15:18:25Z,89.0,Sense
2025-03-26T15:18:30Z,88.0,Sense
2025-03-26T15:18:35Z,90.0,Sense
2025-03-26T15:18:45Z,91.0,Sense
2025-03-26T15:18:50Z,90.0,Sense
2025-03-26T15:18:55Z,91.0,Sense
2025-03-26T15:19:00Z,92.0,Sense
2025-03-26T15:19:05Z,93.0,Sense
2025-03-26T15:19:10Z,92.0,Sense
2025-03-26T15:19:15Z,95.0,Sense
2025-03-26T15:19:20Z,96.0,Sense
2025-03-26T15:19:25Z,95.0,Sense
2025-03-26T15:19:35Z,96.0,Sense
2025-03-26T15:19:45Z,95.0,Sense
2025-03-26T15:19:50Z,94.0,Sense
2025-03-26T15:19:55Z,93.0,Sense
2025-03-26T15:20:10Z,93.0,Sense
2025-03-26T15:20:15Z,91.0,Sense
2025-03-26T15:20:25Z,90.0,Sense
2025-03-26T15:20:35Z,91.0,Sense
2025-03-26T15:20:50Z,91.0,Sense
2025-03-26T15:20:55Z,94.0,Sense
2025-03-26T15:21:05Z,93.0,Sense
2025-03-26T15:21:10Z,94.0,Sense
