timestamp,heart rate zone type,data source
2025-12-23T12:06:00Z,LIGHT,Fitbit App
2025-12-23T12:07:00Z,LIGHT,Fitbit App
2025-12-23T12:08:00Z,LIGHT,Fitbit App
2025-12-23T12:09:00Z,LIGHT,Fitbit App
2025-12-23T12:10:00Z,LIGHT,Fitbit App
2025-12-23T12:11:00Z,LIGHT,Fitbit App
2025-12-23T12:12:00Z,LIGHT,Fitbit App
2025-12-23T12:13:00Z,LIGHT,Fitbit App
2025-12-23T12:14:00Z,LIGHT,Fitbit App
2025-12-23T12:15:00Z,LIGHT,Fitbit App
2025-12-23T12:16:00Z,LIGHT,Fitbit App
2025-12-23T12:17:00Z,LIGHT,Fitbit App
2025-12-23T12:18:00Z,LIGHT,Fitbit App
2025-12-23T12:19:00Z,LIGHT,Fitbit App
